Species_code,Local_name,English_name,n_price_obs,Retail_markets_n,Consumer_paid_n,Reporting_status,Producer_BDT_kg,Aratdar_sell_BDT_kg,Bepari_sell_BDT_kg,Retailer_sell_BDT_kg,Consumer_paid_BDT_kg,Aratdar_margin_BDT_kg,Bepari_margin_BDT_kg,Retailer_margin_BDT_kg,Total_spread_BDT_kg,Producer_share_pct
S01,Ilish,Hilsa shad,76,6.0,10.0,,1045.02,1093.4,1257.55,1424.48,1456.5,48.38,164.15,198.95,411.48,71.7
S02,Rupchanda,Silver pomfret,66,6.0,3.0,,1147.17,1198.25,1386.3,1550.57,1568.33,51.08,188.05,182.03,421.16,73.1
S03,Lakkha,Indian salmon (four-finger threadfin),56,6.0,1.0,Descriptive-only (Method 3.8): consumer quotes n=1 (<3; share not reported),762.83,798.83,912.16,1026.81,980.0,,,,,
S04,Koral/Kurl,Asian sea bass,46,5.0,3.0,,651.13,681.94,784.24,867.96,876.67,30.81,102.3,92.43,225.54,74.3
S05,Surma,Indian mackerel,76,6.0,9.0,,414.49,433.75,495.71,561.71,584.44,19.26,61.96,88.73,169.95,70.9
S06,Churi,Largehead ribbonfish,61,6.0,9.0,,320.42,333.82,391.27,448.09,446.67,13.4,57.45,55.4,126.25,71.7
S07,Poa,Pama croaker,30,5.0,7.0,,368.44,385.18,440.45,506.07,522.14,16.74,55.27,81.69,153.7,70.6
S08,Kankoita,Thorny/Indian anchovy,8,1.0,1.0,Descriptive-only (Method 3.8): retail quotes in 1 market(s); consumer quotes n=1 (<3; share not reported),257.23,267.95,281.8,330.0,350.0,,,,,
S09,Loitta,Bombay duck,13,1.0,8.0,Descriptive-only (Method 3.8): retail quotes in 1 market(s),202.31,211.68,226.61,242.5,270.62,,,,,
S10,Harina,Chacunda gizzard shad,9,2.0,3.0,Descriptive-only (Method 3.8): retail quotes in 2 market(s),,,202.57,238.08,230.0,,,,,
ALL,"Mean of species means (chain-complete: S01, S02, S04, S05, S06, S07)",-,355,,,Pooled over 6 chain-complete species (consumer n >= 3),657.78,687.72,792.59,893.15,909.13,29.94,104.87,116.54,251.35,72.4
